root_serial_type,root_serial,local_time,result,defects,configs.Bin,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,fg-bc-le.items.fg_sn,fg-bc-le.items.station_id,fg-bc-le.items.wip_sn
wip_id,F9F233209161Y82AJ,2022-09-06 19:30:40,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PM24GQ4E,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F233209161Y82AJ
wip_id,F9F2347003P1Y82AW,2022-09-06 19:30:40,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303PN24GQ4D,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F2347003P1Y82AW
wip_id,F9F23440K901Y82AK,2022-09-06 19:30:42,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PP24GQ4C,LFDG_KY-7D2F-OQC1_06_FG-BC-LE,F9F23440K901Y82AK
wip_id,F9F234504UC1Y82AY,2022-09-06 19:30:46,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PQ24GQ4B,LFDG_KY-7D2F-OQC1_02_FG-BC-LE,F9F234504UC1Y82AY
wip_id,F9F2346088G1Y82AF,2022-09-06 19:30:48,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303PR24GQ4A,LFDG_KY-7D2F-OQC1_01_FG-BC-LE,F9F2346088G1Y82AF
wip_id,F9F23430JXY1Y82AR,2022-09-06 19:30:51,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303PS24GQ49,LFDG_KY-7D2F-OQC1_03_FG-BC-LE,F9F23430JXY1Y82AR
wip_id,F9F2345002Q1Y82A0,2022-09-06 19:30:54,passed,,BinA,Ramp,Everwin,TI,N199,KRS,F9W23730AJV24DW4H,LFDG_KY-7D2F-OQC1_07_FG-BC-LE,F9F2345002Q1Y82A0
wip_id,F9F23250FH31Y82A1,2022-09-06 19:30:56,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PT24GQ48,LFDG_KY-7D2F-OQC1_05_FG-BC-LE,F9F23250FH31Y82A1
wip_id,F9F234707WT1Y82A6,2022-09-06 19:30:58,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PV24GQ46,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F234707WT1Y82A6
wip_id,F9F232708X91Y82AS,2022-09-06 19:30:59,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303PU24GQ47,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F232708X91Y82AS
